time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	3.13223e-302	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.743915	0.619866	7.21986	0.00540519	0.00580504	radar	74.2134	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.16114	0.49418	7.22205	-0.116699	-0.00762161	lidar	0.199852	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25775	0.53301	7.20625	0.128301	0.0359524	radar	1.8248	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61583	0.59635	7.2208	0.165122	0.050992	lidar	0.162973	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85118	0.562962	5.98044	0.0303369	-0.213445	radar	7.33184	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16188	0.593176	5.98118	0.0449417	-0.160292	lidar	0.244083	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37741	0.639693	5.54605	0.0658476	-0.276856	radar	5.69508	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65264	0.658274	5.54545	0.0554985	-0.263815	lidar	0.00402731	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.91916	0.652359	5.47902	0.0104564	-0.404075	radar	0.260668	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15319	0.649681	5.43314	-0.00248764	-0.379079	lidar	1.12382	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.43983	0.545335	5.4778	-0.153516	-0.806994	radar	1.39988	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74346	0.432145	5.55918	-0.277288	-1.05079	lidar	2.24153	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02316	0.517095	5.53239	-0.138017	-0.522949	radar	4.02321	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.29658	0.509976	5.50935	-0.13063	-0.441187	lidar	0.323191	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.55471	0.551283	5.38288	-0.0834251	-0.287143	radar	1.74859	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73728	0.663703	5.17507	0.0230702	-0.0325244	lidar	11.9575	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98837	0.662702	5.0823	0.0150242	-0.0443526	radar	1.22149	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.2876	0.655692	5.15668	0.0026264	-0.0636743	lidar	2.85896	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.5478	0.661164	5.25011	0.00508957	-0.0533277	radar	1.9185	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84326	0.674803	5.30073	0.0100254	-0.0411513	lidar	1.7588	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08408	0.602142	5.17344	-0.0429558	-0.122012	radar	3.40328	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33697	0.713855	5.14904	0.0303512	-0.00232827	lidar	3.74569	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58686	0.745024	5.10401	0.0445878	0.0183323	radar	0.35994	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.83242	0.742982	5.0908	0.037831	0.00782107	lidar	0.18654	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07341	0.727011	4.95533	0.0232118	-0.0126533	radar	2.123	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.28841	0.809027	4.90189	0.0658296	0.0434386	lidar	2.70966	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58633	0.819603	5.13633	0.0635985	0.0377808	radar	5.21357	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.838	0.798988	5.12853	0.0462598	0.0144244	lidar	0.468701	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.08606	0.816227	5.0153	0.0494694	0.0168902	radar	2.18394	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32204	0.83361	4.99277	0.0532032	0.0203823	lidar	0.293785	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59554	0.918272	5.19628	0.0886077	0.0603503	radar	6.97798	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83536	0.976699	5.16859	0.108869	0.0799667	lidar	0.769142	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12728	1.01433	5.23911	0.115755	0.082874	radar	6.79963	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36628	1.04834	5.20598	0.122197	0.0856032	lidar	0.644869	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64769	1.11853	5.27367	0.142434	0.102967	radar	4.47403	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92577	1.2441	5.31635	0.185238	0.143914	lidar	3.3601	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1722	1.32779	5.16493	0.208932	0.162699	radar	5.05923	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3952	1.40905	5.12502	0.230068	0.177102	lidar	1.30629	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
